date_reported,report_number,location,occurred_from,incident,synopsis,disposition
"Friday, April 07, 2023 at 8:32",Report #  N/A,N/A,"Thursday, April 06, 2023 at 0:00  to  Thursday, April 06, 2023 at 23:59",n/a," there were no incidents to report for april 6, 2023",n/a
"Thursday, April 06, 2023 at 8:31",Report #  NA,NA,"Wednesday, April 05, 2023 at 0:00  to  Wednesday, April 05, 2023 at 23:59",na," no incidents were reported on april 5, 2023.",na
"Wednesday, April 05, 2023 at 8:16",Report #  23-00194,"725 W. Lombard Street, Baltimore, MD 21201","Tuesday, April 04, 2023 at 17:57  to  Tuesday, April 04, 2023 at 17:57",attempted car jacking, subject attempted to take a person's vehicle.,report taken
"Tuesday, April 04, 2023 at 8:18",Report #  N/A,N/A,"Monday, April 03, 2023 at 0:00  to  Monday, April 03, 2023 at 23:59",n/a," there were no incidents to report for april 3, 2023.",n/a
"Monday, April 03, 2023 at 8:23",Report #  N/A,N/A,"Sunday, April 02, 2023 at 0:00  to  Sunday, April 02, 2023 at 23:59",n/a," there were no incidents to report for april 2, 2023",n/a
"Monday, April 03, 2023 at 8:21",Report #  N/A,N/A,"Saturday, April 01, 2023 at 0:00  to  Saturday, April 01, 2023 at 23:59",n/a," there were no incidents to report for april 1, 2023.",n/a
"Monday, April 03, 2023 at 8:15",Report #  N/A,N/A,"Friday, March 31, 2023 at 0:00  to  Friday, March 31, 2023 at 23:59",n/a," there were no incidents to report for march 31, 2023",n/a
"Friday, March 31, 2023 at 8:22",Report #  N/A,N/A,"Thursday, March 30, 2023 at 0:00  to  Thursday, March 30, 2023 at 23:59",n/a," there were no incidents to report for march 30, 2023.",n/a
"Thursday, March 30, 2023 at 8:26",Report #  N/A,N/A,"Wednesday, March 29, 2023 at 0:00  to  Wednesday, March 29, 2023 at 23:59",n/a," there were no incidents to report for march 29, 2023.",n/a
"Wednesday, March 29, 2023 at 8:02",Report #  N/A,N/A,"Tuesday, March 28, 2023 at 0:00  to  Tuesday, March 28, 2023 at 23:59",n/a," there were no incidents to report for march 28, 2023",n/a
"Tuesday, March 28, 2023 at 8:17",Report #  N/A,N/A,"Monday, March 27, 2023 at 0:00  to  Monday, March 27, 2023 at 23:59",n/a," there were no incidents to report for march 27, 2023.",n/a
"Monday, March 27, 2023 at 9:30",Report #  23-00182,"22 S. Greene Street, Baltimore, MD 21201","Sunday, March 26, 2023 at 14:13  to  Sunday, March 26, 2023 at 14:13",simple assault, two individuals involved in altercation.,report written
